start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
x_bar,1.52989216198835e-13,8/1000,yes,2.84307883682737,0.0029926
R1,1.23370189775793e-08,16/1000,yes,2.98887674886399,0.0073349
R2,6.51361086812672e-10,15/1000,yes,0.762203576989863,0.0034763
R3,7.88119740314854e-07,12/1000,yes,NaN,0.0026794
R4,2.6017180069866e-09,15/1000,yes,1.65866489206392,0.0031461
R5,1.76542880592845e-08,15/1000,yes,2.84149823617369,0.0031623
Avg(successes),1.36894046572456e-07,,-,2.21886445818377,0.0037986
