start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
x_bar,3.79169716700972e-07,27/1000,yes,1.57443398487322,0.0960931
R1,9.88600627992112e-07,30/1000,yes,0.00311592695084895,0.0955309
R2,6.79169448742047e-07,33/1000,yes,0.382499929877255,0.0855177
R3,3.22081751019392e-08,32/1000,yes,1.51665594662739,0.0804834
R4,3.73230335608945e-06,40/1000,no,-0,0.172717
R5,3.9571142737147e-07,37/1000,yes,0.220379434674296,0.0877417
Avg(successes),4.94971879181708e-07,,-,0.739417044600602,0.08907336
