start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
x_bar,1.82189931079856e-12,8/1000,yes,2.49709114528602,0.0173932
R1,4.07190159822754e-07,24/1000,yes,0.139125770812819,0.0511201
R2,1.97666907679555e-07,21/1000,yes,1.1955595232739,0.0412469
R3,5.80775588938179e-07,21/1000,yes,0.329040307061332,0.0486601
R4,4.30061671982886e-07,26/1000,yes,1.53086153991545,0.07992
R5,5.73723375598841e-07,23/1000,yes,1.09511358948784,0.0578403
Avg(successes),3.64903254320254e-07,,-,1.13113197930623,0.0493634333333333
