start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
x_bar,1.31993355898471e-07,5/1000,yes,1.99006711394633,0.0007257
R1,2.5329015383174e-13,8/1000,yes,1.9944120322705,0.0007546
R2,1.69288220853299e-07,5/1000,yes,1.98413271883993,0.0006104
R3,1.58036114304607e-07,7/1000,yes,1.98080483739979,0.0006512
R4,8.25411643864451e-11,6/1000,yes,1.99619943312516,0.0008686
R5,5.34256214215422e-08,6/1000,yes,1.9883615156015,0.0004488
Avg(successes),8.54710178220766e-08,,-,1.9889962751972,0.00067655
