start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
xbar,1.31993355898471e-07,5/1000,yes,NaN,0.0193061
rand1,1.8551322768235e-13,7/1000,yes,1.78121993936886,0.0040069
rand2,5.93178347084539e-11,7/1000,yes,1.68843519933465,0.0042173
rand3,2.17697796942647e-10,4/1000,yes,NaN,0.0021471
rand4,6.37219672352326e-10,5/1000,yes,NaN,0.002399
rand5,6.65341273343053e-11,6/1000,yes,1.81004586769268,0.0034392
Avg(successes),2.2162385140506e-08,,-,1.7599003354654,0.00591926666666667
