start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
xbar,1.79093573548508e-08,5/1000,yes,NaN,0.0846423
rand1,1.08372884307444e-08,11/1000,yes,1.16216412040883,0.2385205
rand2,2.05324457646404e-09,10/1000,yes,1.43144290782659,0.2213835
rand3,3.43669082588001e-11,9/1000,yes,1.28807451336645,0.2023718
rand4,3.69887357371758e-11,9/1000,yes,1.34321339768624,0.2018181
rand5,4.47148339478575e-07,9/1000,yes,1.44801436101479,0.1778551
Avg(successes),7.96699309141051e-08,,-,1.33458186006058,0.187765216666667
