start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
xbar,1.79084293354519e-08,5/1000,yes,1.67113974118899,0.0029749
rand1,8.96681594537521e-08,10/1000,yes,1.33704659702068,0.0070745
rand2,2.75111945435293e-09,11/1000,yes,1.43892812072739,0.0136659
rand3,1.97443942918446e-12,9/1000,yes,1.53082216414513,0.0084274
rand4,3.10241141868309e-12,10/1000,yes,1.56339869466131,0.0099662
rand5,2.97193955208843e-07,9/1000,yes,1.33894743438112,0.0088111
Avg(successes),6.79211233838747e-08,,-,1.4800471253541,0.00848666666666667
