start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
xbar,1.5475998827747e-11,4/1000,yes,1.9728742440562,0.0457809
rand1,2.32890403857405e-07,5/1000,yes,1.71955316178568,0.0026609
rand2,2.31650268294846e-11,4/1000,yes,1.94174210910369,0.0038865
rand3,5.26750719462733e-08,5/1000,yes,1.76441781560618,0.0018784
rand4,2.88484698699935e-08,3/1000,yes,NaN,0.0029182
rand5,8.98826925274805e-14,4/1000,yes,NaN,0.0011371
Avg(successes),5.2408779430337e-08,,-,1.84964683263794,0.00971033333333333
