start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
xbar,1.79093573548508e-08,5/1000,yes,1.65238616507602,0.0426683
rand1,1.56252450950415e-08,11/1000,yes,1.39373497940146,0.0870609
rand2,5.75807203911284e-07,10/1000,yes,1.33178983825472,0.1191448
rand3,1.08849538197965e-11,11/1000,yes,1.54756983484518,0.1500269
rand4,3.61561835140758e-10,10/1000,yes,1.45759816796069,0.0977583
rand5,4.80213186962653e-08,11/1000,yes,1.33152331375344,0.1594075
Avg(successes),1.09622595307734e-07,,-,1.45243371654858,0.10934445
