start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
xbar,1.79186349053854e-08,5/1000,yes,NaN,0.9690275
rand1,3.91871640075707e-09,11/1000,yes,1.25226134162643,3.8917943
rand2,5.40068953945299e-13,12/1000,yes,1.27953950429286,3.9279675
rand3,9.42385114770315e-07,11/1000,yes,1.13140389771354,2.7707031
rand4,9.27481724573258e-12,12/1000,yes,1.2606525123302,3.1192313
rand5,2.046461010664e-07,10/1000,yes,1.18660722311534,3.7391152
Avg(successes),1.9481306367151e-07,,-,1.22209289581567,3.06963981666667
