start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
x_bar,1.5475998827747e-11,5/1000,yes,1.99850900580009,0.005785
R1,6.20937758530651e-09,6/1000,yes,1.99955519927077,0.0005092
R2,2.82597232656797e-07,5/1000,yes,0.589638652340582,0.0003595
R3,3.87838668593428e-07,6/1000,yes,1.99210321635716,0.0004181
R4,1.12176632549908e-09,5/1000,yes,1.99946255927777,0.0005061
R5,2.13076725884276e-09,6/1000,yes,NaN,0.0001889
Avg(successes),1.13318881403117e-07,,-,1.71585372660927,0.00129446666666667
