start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
x_bar,8.37994668012675e-07,14/1000,yes,0.169033179711947,0.0273388
R1,8.77942680025115e-07,17/1000,yes,0.424581952764555,0.0309643
R2,8.20561839120474e-07,16/1000,yes,0.687417535779913,0.0337199
R3,7.14406962394272e-07,18/1000,yes,0.220176315784005,0.0380586
R4,9.37856716792412e-07,17/1000,yes,0.453576159422057,0.0360486
R5,9.71005828082983e-07,17/1000,yes,0.449408084749017,0.0367543
Avg(successes),8.59961449071322e-07,,-,0.400698871368582,0.0338140833333333
