start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
x_bar,6.53514522121476e-08,22/1000,yes,1.2766601483929,0.0065911
R1,6.5625643866875e-08,22/1000,yes,1.55999645020612,0.0063263
R2,2.07386287988437e-07,24/1000,yes,1.57622408129785,0.004419
R3,5.56677602830359e-08,32/1000,yes,NaN,0.0063315
R4,6.03972438068109e-08,22/1000,yes,1.4932678964325,0.0039645
R5,2.61545519817787e-07,23/1000,yes,1.47402226641379,0.0057363
Avg(successes),1.19328984662516e-07,,-,1.47603416854863,0.00556145
