start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
x_bar,1.79186349053854e-08,5/1000,yes,1.55521703433004,0.3313976
R1,8.7559868564376e-10,9/1000,yes,1.99747980885727,0.8719563
R2,4.73301647313144e-13,9/1000,yes,1.98135463827788,1.0361
R3,4.40755401619442e-13,12/1000,yes,2.00056104089649,1.5862147
R4,1.36686328474928e-11,12/1000,yes,1.99880344130953,1.1516973
R5,2.45197237973413e-09,11/1000,yes,2.00091442910676,1.4133677
Avg(successes),3.54346477677662e-09,,-,1.92238839879633,1.06512226666667
