start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
x_bar,9.96270841159345e-07,14/1000,yes,0.530234203776126,0.3131212
R1,9.01263347776554e-07,20/1000,yes,0.642151196532208,0.476413
R2,8.86240867025577e-07,18/1000,yes,0.155897318854891,0.6027753
R3,8.1199481359599e-07,17/1000,yes,0.642557949237642,0.4703109
R4,9.76710771427114e-07,18/1000,yes,0.399342591276686,0.430157
R5,7.68807212347175e-07,17/1000,yes,0.656656414607571,0.3977797
Avg(successes),8.90214642221959e-07,,-,0.504473279047521,0.448426183333333
