start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
x_bar,9.92734243799924e-13,5/1000,yes,NaN,0.0010778
R1,2.76222438803071e-09,10/1000,yes,NaN,0.0009478
R2,2.29238875933737e-14,5/1000,yes,NaN,0.0007012
R3,4.97279683514325e-09,8/1000,yes,NaN,0.0007523
R4,7.91536001223696e-08,4/1000,yes,NaN,0.0010368
R5,2.48253415324727e-16,5/1000,yes,NaN,0.000373
Avg(successes),1.44816062086547e-08,,-,NaN,0.000814816666666667
