start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
xbar,1.79084293354519e-08,5/1000,yes,NaN,0.0148665
rand1,5.09126840013026e-07,9/1000,yes,1.28609085113411,0.0263741
rand2,1.55689992156233e-07,8/1000,yes,1.33336654941144,0.0235997
rand3,2.29559872310622e-08,10/1000,yes,1.22170405422263,0.0202687
rand4,4.5018766602291e-07,8/1000,yes,1.30642429227273,0.0247927
rand5,4.83028523687172e-11,9/1000,yes,1.29222694477081,0.0294551
Avg(successes),1.92652869601842e-07,,-,1.28796253836234,0.0232261333333333
