start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
xbar,4.35064552664306e-10,6/1000,yes,2.42739170439565,0.0105906
rand1,4.68804436121528e-08,85/1000,yes,0.718998820796436,0.0900155
rand2,1.45800608939698e-08,87/1000,yes,1.72998212318204,0.0869484
rand3,7.5014582158771e-08,81/1000,yes,1.62144475460496,0.1092297
rand4,4.123752983228e-08,82/1000,yes,1.12861754984597,0.1346008
rand5,7.92734027560058e-08,88/1000,yes,1.72745345421756,0.1308788
Avg(successes),4.29035139676406e-08,,-,1.55898140117377,0.0937106333333333
