start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
xbar,4.35064539342864e-10,6/1000,yes,2.18333843424197,0.129714
rand1,0.00190562552199906,1000/1000,no,NaN,89.6930132
rand2,0.00514772305280892,1000/1000,no,NaN,97.5184948
rand3,0.00230881219476363,1000/1000,no,NaN,113.0355741
rand4,0.00161878150373076,1000/1000,no,NaN,137.7639602
rand5,7551089.90837962,1000/1000,no,NaN,125.6290349
Avg(successes),4.35064539342864e-10,,-,2.18333843424197,0.129714
