start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
xbar,4.175548943212e-13,5/1000,yes,NaN,0.0101654
rand1,5.65569813313517e-12,4/1000,yes,NaN,0.0009049
rand2,3.29614779988988e-10,4/1000,yes,NaN,0.0007649
rand3,3.11753038077674e-08,3/1000,yes,NaN,0.0006407
rand4,1.13447140570654e-10,4/1000,yes,NaN,0.0015813
rand5,1.40835121347151e-11,5/1000,yes,NaN,0.0006924
Avg(successes),5.2730870822482e-09,,-,NaN,0.00245826666666667
